score,API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
0.5255985260009766,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:Send,Start the fax sending. Only successfull if all necessary data is set to the fax: at least 1 recipient and a cover page or a file uploaded. Will only work if user has enough credit to pay for the fax. You may pass in a datetime when the fax shall be sent. This must be a string...,FaxJob,[{}],"[{'参数名': ['send_at'], '参数类型': ['STRING'], '参数注意事项': ['Datetime when the fax shall be sent']}]"
0.5054043531417847,Scrape Phone Email Social Media Account Company Address,https://rapidapi.com/ixartz/api/scrape-phone-email-social-media-account-company-address/,scrape-phone-email-social-media-account-company-address.p.rapidapi.com,GET:Get business information,Scrape Phone Email Social Media Account Company Address,,"[{'参数名': ['domain'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
0.47989875078201294,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:SendLater,Put the fax in the unpaid faxes queue. Only possible if user has NOT enough credit to send this fax directly. You may pass in a datetime when the fax shall be sent. This must be a string formatted in the users chosen culture (so exactly as you would show it to him) and may no...,FaxJob,[{}],"[{'参数名': ['send_at'], '参数类型': ['STRING'], '参数注意事项': ['Datetime when the fax shall be sent']}]"
0.46457186341285706,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:ListRecentFaxes,Returns a list of latest faxes for the user. Does not contain deleted and delayed faxes (See ListTrash for deleted faxes).,FaxHistory,[{}],"[{'参数名': ['count', 'data_to_list'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The count of items to return. Valid values are between 1 and 100 (default: 15)', ""Any message types you want this function to return. Allowed models are 'sent', 'inbox', 'outbox'. Leave empty to get faxes of any type.""]}]"
0.46014469861984253,Ultimate SERP Project,https://rapidapi.com/relu-consultancy-relu-consultancy-default/api/ultimate-serp-project/,ultimate-serp-project.p.rapidapi.com,GET:ContactInfoFinder,"Discover the power of deep web crawling with our ContactInfoFinder API. The ""ContactInfoFinder"" endpoint is a powerful tool that extracts essential contact information, including emails, phone numbers, and physical addresses, directly from a website's ""Contact Us"" page.",,"[{'参数名': ['token', 'url'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
0.4521602392196655,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:ListSentFaxes,List all sent faxes (successful or not),FaxHistory,[{}],"[{'参数名': ['current_page'], '参数类型': ['STRING'], '参数注意事项': ['The page which should be shown (default: 1)']}]"
0.44706273078918457,Online Email Validation and Discovery,https://rapidapi.com/manuelriel/api/online-email-validation-and-discovery/,crm-toolbox.p.rapidapi.com,GET:Guess email from name and domain,"Enter a first name, last name and domain. We will check common email patterns and test if they are correct.",,"[{'参数名': ['first', 'last', 'domain'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
0.4379851818084717,Phone Validator API,https://rapidapi.com/inutil-inutil-default/api/phone-validator-api/,phone-validator-api.p.rapidapi.com,GET:Is mobile?,Returns true or false depending on whether the number is a mobile line or not.,,"[{'参数名': ['phone'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
0.43599528074264526,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:SetRecipients,Creates recipients for the current fax. All recipients are replaced with the given ones! Note that each name may be 80 characters long. More characters will be cut off.,FaxJob,[{}],"[{'参数名': ['names'], '参数类型': ['STRING'], '参数注意事项': ['Optional array of recipient names, lnegth must match length of numbers argument']}]"
0.4322053790092468,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:GetNumberInfo,"Get some information about a fax number. Result contains zone, type, city, … Validates and corrects the number too.",NumberInfo,"[{'参数名': ['apikey', 'apicheck', 'faxnumber'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['description', 'description', 'The faxnumber to query (incl countrycode: +12139851886, min length: 8)']}]",[{}]
0.43080922961235046,Phone Validator API,https://rapidapi.com/inutil-inutil-default/api/phone-validator-api/,phone-validator-api.p.rapidapi.com,GET:Is possible?,"Validates phone number length, returns true or false.",,"[{'参数名': ['phone'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
0.4296554923057556,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:GetPagePrice,"Calculate the expected price per page to a given fax number. Use GetNumberInfo when you do not need pricing information, as calculating expected price takes longer then just looking up the info for a number.",NumberInfo,"[{'参数名': ['apikey', 'apicheck', 'faxnumber'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['description', 'description', 'The faxnumber to query (incl countrycode: +12139851886, min length: 8). Login user first to get personalized prices.']}]",[{}]
0.4210893511772156,Phone Mass,https://rapidapi.com/natanhelp/api/phone-mass/,phone-mass.p.rapidapi.com,GET:Main Usage,"You know what this API will do.
Just provide a phone number.",,"[{'参数名': ['phone'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
0.4189251661300659,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:ListUnpaidFaxes,"Lists all unpaid faxes That are waiting for a payment. When this user makes a transaction to add credit, these faxes will be sent automatically if they are younger that 2 hours.",FaxHistory,[{}],"[{'参数名': ['current_page', 'items_per_page'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The page which should be shown (default: 1)', 'How many items are shown per page (default: 20)']}]"
0.4157341718673706,Phone Validator API,https://rapidapi.com/inutil-inutil-default/api/phone-validator-api/,phone-validator-api.p.rapidapi.com,GET:Fetch full metadata,This endpoint will return the full metadata of the number included on the request.,,"[{'参数名': ['phone'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
0.4123349189758301,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:ListInboxFaxes,List all faxes in the inbox of the current user.,FaxHistory,[{}],"[{'参数名': ['current_page', 'items_per_page'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The page which should be shown (default: 1)', 'How many items are shown per page (default: 20)']}]"
0.4119285047054291,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:ListAvailableCovers,"Returns a list of all coverpages the user may use. Result includes the ""no cover"" if the fax job already contains a file as in that case there's no need to add a cover.",FaxJob,[{}],"[{'参数名': ['defaults_if_empty'], '参数类型': ['STRING'], '参数注意事项': ['optional (default: true)']}]"
0.4078274369239807,Phone Validator API,https://rapidapi.com/inutil-inutil-default/api/phone-validator-api/,phone-validator-api.p.rapidapi.com,GET:Type,"Returns phone number type (fixed line, mobile, toll free, etc); or undefined if the number is invalid or if there are no phone number type regular expressions for this country in metadata.",,"[{'参数名': ['phone'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
0.406830370426178,Email finder,https://rapidapi.com/nicholasbudiharsa/api/email-finder8/,email-finder8.p.rapidapi.com,GET:Fetch email of a person,"Get email of anyone in the internet. Best for lead generation, prospecting, and cold marketing.",,"[{'参数名': ['first_name', 'last_name', 'domain'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
0.40671128034591675,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:CountFaxes,Returns the number of faxes from users history with a specific state.,FaxHistory,"[{'参数名': ['apikey', 'apicheck', 'type', 'usertoken'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['description', 'description', 'Possible values: history, inbox, inbox_unread, outbox or unpaid', '']}]",[{}]
0.40499937534332275,Comparable Companies,https://rapidapi.com/ComparableCompanies/api/comparable-companies/,comparable-companies.p.rapidapi.com,GET:/contacts,Returns a list of contact persons (incl. email addresses) at a given company.,contacts,"[{'参数名': ['domain'], '参数类型': ['STRING'], '参数注意事项': ['(Required) The company domain for which you want to look up contacts for (e.g. unilever.com). Providing a URL works as well, we will then parse the domain on our end.']}]",[{}]
0.4044835567474365,Pamfax,https://rapidapi.com/pamfax/api/pamfax/,pamfax-pamfax.p.rapidapi.com,GET:ListOutboxFaxes,Faxes in the outbox that are currently in the sending process,FaxHistory,[{}],"[{'参数名': ['current_page', 'items_per_page'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The page which should be shown (default: 1)', 'How many items are shown per page (default: 20)']}]"
0.40007853507995605,Online Email Validation and Discovery,https://rapidapi.com/manuelriel/api/online-email-validation-and-discovery/,crm-toolbox.p.rapidapi.com,GET:Discover emails by domain,Find emails belonging to a domain. Useful to guess the address pattern used in a company.,,"[{'参数名': ['domain'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
0.3986039459705353,Phone Validator API,https://rapidapi.com/inutil-inutil-default/api/phone-validator-api/,phone-validator-api.p.rapidapi.com,GET:Is valid?,"Validates both phone number length and the actual phone number digits, returns true or false.",,"[{'参数名': ['phone'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
0.3925824761390686,Phone Validator API,https://rapidapi.com/inutil-inutil-default/api/phone-validator-api/,phone-validator-api.p.rapidapi.com,GET:Format number,Returns the phone number on standardized formats.,,"[{'参数名': ['phone'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
0.3886856436729431,Phone Validator API,https://rapidapi.com/inutil-inutil-default/api/phone-validator-api/,phone-validator-api.p.rapidapi.com,GET:Is fixed?,Returns true or false depending on whether the number is fixed or not.,,"[{'参数名': ['phone'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
